0-60 (s),1/4 Mile ET (s),Trap Speed (mph),60-130 (s),Lateral G @ 120 mph,100-0 Braking (ft),Lap Time (s),Predicted Lap Time (s),Prediction Error,Absolute Error
6.3,14.5,96.0,22.7,1.05,291.4,108.84100000000001,107.76771,-1.073292175292977,1.073292175292977
3.1,10.2,146.0,5.7,1.22,,91.444,92.50939,1.0653917846679661,1.0653917846679661
3.7,,,9.5,1.1,285.0,99.47399999999999,98.42141,-1.0525903930663958,1.0525903930663958
3.3,11.1,129.0,8.4,1.19,275.0,97.025,95.97537,-1.0496276855468807,1.0496276855468807
3.0,10.5,138.0,6.4,1.29,249.0,92.307,91.26232,-1.0446785278320334,1.0446785278320334
2.5,10.0,150.0,4.5,1.67,216.4,83.269,82.226,-1.043002075195318,1.043002075195318
5.8,14.3,99.0,18.7,0.92,345.2,112.352,111.32086,-1.0311381835937539,1.0311381835937539
3.5,11.5,126.0,9.5,1.15,269.3,97.838,96.81065,-1.0273463134765564,1.0273463134765564
6.5,14.2,100.0,21.3,0.88,392.9,112.56700000000001,111.54226,-1.0247407836914135,1.0247407836914135
3.7,11.8,125.0,9.0,0.94,297.0,101.725,100.70721,-1.0177932739257756,1.0177932739257756
3.4,11.7,130.0,7.2,1.74,245.0,90.529,91.54083,1.0118325195312536,1.0118325195312536
6.6,14.6,97.0,16.7,0.93,330.2,111.997,110.98614,-1.0108626098632811,1.0108626098632811
3.7,11.7,125.0,8.6,1.28,261.1,96.993,95.99457,-0.998432128906245,0.998432128906245
3.6,11.3,139.0,4.9,2.12,187.3,78.782,79.77906,0.9970603637695348,0.9970603637695348
4.9,13.0,105.0,15.9,0.99,328.1,105.856,106.84551,0.9895123901367242,0.9895123901367242
4.3,12.4,114.0,11.2,1.03,295.0,101.598,102.585556,0.9875560302734385,0.9875560302734385
2.8,10.6,134.0,7.5,1.21,265.0,94.328,93.34609,-0.9819077758789092,0.9819077758789092
5.8,13.3,110.0,13.4,1.15,289.6,101.837,102.81114,0.9741419677734342,0.9741419677734342
3.5,11.3,127.0,8.7,0.96,275.0,97.71600000000001,96.74757,-0.9684337768554769,0.9684337768554769
2.9,10.5,145.0,5.8,1.23,256.6,91.618,90.65703,-0.9609718017578075,0.9609718017578075
2.6,9.9,148.0,5.0,1.52,241.1,88.261,89.21371,0.9527069702148481,0.9527069702148481
2.9,9.9,152.0,5.4,2.31,184.0,78.144,77.198204,-0.9457959594726617,0.9457959594726617
3.7,11.6,125.0,8.3,1.12,268.3,98.19200000000001,97.247185,-0.9448152465820385,0.9448152465820385
2.1,10.6,137.0,6.4,1.32,,93.733,94.65606,0.9230592651367147,0.9230592651367147
3.5,10.6,143.0,6.4,1.63,240.1,88.175,89.08567,0.9106704711914091,0.9106704711914091
5.2,13.7,103.0,17.5,1.07,289.7,105.707,104.79927,-0.9077293701171811,0.9077293701171811
4.6,12.7,114.0,12.2,1.15,277.0,99.852,100.75603,0.9040272216796836,0.9040272216796836
2.1,9.6,152.0,5.2,1.61,222.8,83.924,84.81341,0.8894078979492122,0.8894078979492122
7.8,16.0,90.0,24.5,0.94,313.1,114.033,113.14718,-0.8858213500976575,0.8858213500976575
4.4,12.8,111.0,13.3,1.1,305.0,103.327,104.21083,0.8838306884765643,0.8838306884765643
3.3,11.2,133.0,7.3,,,95.256,94.37784,-0.8781618652343752,0.8781618652343752
3.0,10.8,134.0,7.2,1.39,245.2,90.145,91.017914,0.872913818359379,0.872913818359379
3.6,11.2,131.0,7.9,1.41,237.3,91.66,90.789185,-0.8708154296874966,0.8708154296874966
2.9,10.6,132.0,7.9,1.26,262.8,92.571,93.441696,0.8706961669921895,0.8706961669921895
4.1,12.4,115.0,11.4,1.17,273.1,99.313,98.46096,-0.8520396118164086,0.8520396118164086
3.1,9.9,172.0,4.1,1.51,245.0,87.884,87.036705,-0.8472949829101566,0.8472949829101566
3.4,11.3,130.0,7.8,1.15,265.0,94.785,93.94742,-0.8375817871093716,0.8375817871093716
3.9,12.0,118.0,10.0,1.17,285.0,98.721,99.55694,0.8359381713867151,0.8359381713867151
4.3,12.7,110.0,12.3,1.22,261.6,100.114,99.2834,-0.8305985107421918,0.8305985107421918
2.9,10.9,133.0,7.4,1.18,264.2,93.939,93.12522,-0.8137787475585867,0.8137787475585867
2.5,9.5,160.0,4.3,1.94,209.4,79.907,80.71965,0.812650268554691,0.812650268554691
2.8,9.6,163.0,4.2,2.36,192.3,76.28,77.09206,0.8120562744140614,0.8120562744140614
5.7,14.4,97.0,21.9,1.06,287.8,106.523,107.33362,0.8106181640625039,0.8106181640625039
3.3,10.6,149.0,5.1,2.21,191.5,79.367,78.5661,-0.8008989257812544,0.8008989257812544
2.9,10.0,157.0,4.4,1.24,229.8,86.077,85.28143,-0.7955668945312482,0.7955668945312482
3.7,11.8,125.0,9.5,1.12,275.0,98.501,97.70789,-0.7931066284179735,0.7931066284179735
2.7,10.6,135.0,6.8,1.4,237.6,89.503,90.288086,0.7850859374999999,0.7850859374999999
2.8,10.3,138.0,6.8,1.37,244.4,89.947,90.73036,0.7833619384765598,0.7833619384765598
5.4,13.7,103.0,17.2,1.11,282.7,104.456,103.68326,-0.7727419433593781,0.7727419433593781
3.0,10.7,136.0,6.4,1.42,242.7,89.88,90.65196,0.771962280273442,0.771962280273442
2.9,10.7,132.0,6.9,1.26,261.2,92.673,93.441696,0.7686961669921857,0.7686961669921857
6.6,15.1,92.0,33.0,1.07,287.0,110.122,109.35943,-0.7625715942382811,0.7625715942382811
3.2,10.9,133.0,6.2,1.39,256.3,91.685,92.44486,0.759862365722654,0.759862365722654
2.9,10.9,132.0,7.3,1.4,245.0,90.57900000000001,91.33438,0.7553811035156173,0.7553811035156173
6.2,14.7,91.0,23.6,1.0,304.5,109.938,110.690125,0.7521245117187476,0.7521245117187476
3.0,10.8,129.0,7.7,1.35,233.4,92.17699999999999,91.42491,-0.752088500976555,0.752088500976555
4.3,12.5,116.0,11.3,1.11,305.0,101.327,102.075485,0.7484852294921893,0.7484852294921893
2.6,9.5,155.0,4.1,2.47,190.7,76.348,77.09206,0.7440562744140635,0.7440562744140635
3.3,11.4,122.0,11.0,1.08,289.5,99.956,100.68452,0.7285169067382782,0.7285169067382782
3.1,10.2,145.0,5.5,1.24,265.0,92.13300000000001,91.41385,-0.7191511230468848,0.7191511230468848
2.9,8.9,180.0,3.4,1.66,220.1,84.339,83.62827,-0.7107269897460924,0.7107269897460924
4.3,12.7,111.0,12.6,0.98,285.0,102.408,101.70671,-0.7012891845703138,0.7012891845703138
2.7,10.0,147.0,5.0,1.4,239.4,88.386,89.08567,0.6996704711914106,0.6996704711914106
3.4,11.5,126.0,8.1,1.54,230.6,90.423,91.12128,0.6982768554687482,0.6982768554687482
4.3,12.7,113.0,12.4,1.11,281.3,101.69,100.993195,-0.6968054199218727,0.6968054199218727
8.5,16.6,85.0,43.6,0.96,308.9,116.352,115.65851,-0.6934916992187539,0.6934916992187539
2.7,10.1,141.0,5.9,1.3,247.4,89.364,90.05559,0.6915877685546832,0.6915877685546832
6.5,14.9,94.0,26.2,1.07,286.8,108.185,108.87204,0.6870397949218727,0.6870397949218727
3.3,10.4,144.0,5.7,1.47,255.0,91.191,90.51708,-0.6739177856445338,0.6739177856445338
3.9,12.1,121.0,10.4,1.12,274.8,99.50800000000001,98.84342,-0.6645780639648535,0.6645780639648535
4.4,12.8,114.0,11.2,,,99.696,100.35912,0.6631232299804708,0.6631232299804708
3.5,11.5,131.0,7.4,1.21,265.8,94.517,93.86902,-0.6479814453124959,0.6479814453124959
5.0,13.6,100.0,20.3,1.14,266.9,105.56700000000001,104.92032,-0.6466813964843823,0.6466813964843823
3.3,11.5,122.0,9.5,1.07,276.3,99.49199999999999,98.855,-0.6369966430663965,0.6369966430663965
4.3,12.6,116.0,11.7,1.1,279.1,99.48400000000001,98.857864,-0.6261356201171964,0.6261356201171964
7.2,15.5,94.0,23.2,0.96,324.2,111.979,112.60317,0.6241723022460945,0.6241723022460945
5.0,13.4,103.0,18.2,1.09,272.6,103.187,102.57284,-0.6141621704101539,0.6141621704101539
3.1,11.2,124.0,8.8,1.2,262.7,95.384,95.99457,0.6105678710937497,0.6105678710937497
6.0,14.4,101.0,17.2,0.78,439.5,112.267,111.665276,-0.6017244262695272,0.6017244262695272
4.0,12.2,115.0,12.4,1.09,293.8,100.116,100.69896,0.5829593505859378,0.5829593505859378
4.8,13.5,103.0,18.1,1.09,274.4,103.595,103.01318,-0.5818164062499989,0.5818164062499989
4.9,13.6,106.0,15.8,1.15,282.6,102.638,102.08798,-0.5500178222656302,0.5500178222656302
5.4,13.7,107.0,15.7,0.98,326.4,106.245,106.79462,0.5496166992187455,0.5496166992187455
3.5,11.5,124.0,8.3,1.25,253.8,95.902,95.39261,-0.509391357421876,0.509391357421876
3.3,10.6,140.0,6.2,1.31,251.0,90.236,90.74337,0.5073700561523395,0.5073700561523395
4.1,12.2,117.0,11.0,1.25,262.7,97.644,97.14454,-0.4994611206054742,0.4994611206054742
3.6,11.6,124.0,9.2,,,96.81700000000001,97.31099,0.4939893798828052,0.4939893798828052
3.2,10.2,142.0,5.6,2.24,220.0,85.14099999999999,85.63488,0.4938800659179776,0.4938800659179776
3.6,11.7,123.0,9.7,1.23,267.4,96.82300000000001,97.31099,0.487989379882805,0.487989379882805
3.7,11.0,131.0,8.1,1.43,243.1,92.039,91.55543,-0.48357244873047023,0.48357244873047023
3.0,11.1,130.0,8.0,1.29,255.8,92.643,93.12459,0.4815880126953118,0.4815880126953118
5.9,14.4,101.0,18.0,1.06,289.5,106.63300000000001,107.0936,0.4605974121093652,0.4605974121093652
,,,8.8,1.31,248.4,94.945,94.488556,-0.4564440917968682,0.4564440917968682
6.2,14.9,94.0,27.1,0.88,383.5,113.39500000000001,113.85101,0.45601318359373977,0.45601318359373977
3.4,11.1,132.0,7.4,1.3,252.5,91.412,91.86635,0.45434826660155636,0.45434826660155636
2.8,10.5,136.0,7.1,1.47,247.9,90.388,90.83817,0.450172912597651,0.450172912597651
6.7,15.3,93.0,25.1,1.0,299.1,110.794,110.34469,-0.4493115844726532,0.4493115844726532
2.9,10.5,138.0,6.5,1.27,250.5,91.72200000000001,91.27692,-0.4450834960937584,0.4450834960937584
2.4,9.7,147.0,5.3,1.31,257.7,90.51599999999999,90.950935,0.4349353637695401,0.4349353637695401
6.5,14.7,96.0,18.9,0.91,328.3,110.968,111.40248,0.434481079101559,0.434481079101559
3.2,11.2,128.0,8.2,1.26,255.4,94.003,94.4323,0.4292967529296874,0.4292967529296874
2.9,9.9,148.0,5.3,1.49,248.1,90.17699999999999,89.74899,-0.4280070800781175,0.4280070800781175
2.9,10.3,147.0,5.4,1.63,232.0,86.457,86.88083,0.42382885742188137,0.42382885742188137
2.9,11.0,126.0,8.9,1.13,263.0,95.924,95.50933,-0.41466925048828784,0.41466925048828784
3.6,11.8,124.0,9.2,1.25,258.6,94.98400000000001,95.39261,0.40860864257811613,0.40860864257811613
2.9,10.4,142.0,6.0,1.66,222.7,85.326,85.73431,0.40830633544922534,0.40830633544922534
5.9,14.2,100.0,19.5,1.05,290.5,106.686,107.0936,0.40759741210936795,0.40759741210936795
3.0,11.2,124.0,9.9,1.09,272.6,97.72800000000001,97.32257,-0.40542919921875864,0.40542919921875864
3.3,11.1,138.0,6.6,1.28,254.1,91.753,92.15731,0.40431048583984364,0.40431048583984364
3.0,10.8,134.0,6.6,1.35,258.4,92.056,92.45946,0.4034573974609401,0.4034573974609401
3.3,11.2,126.0,7.4,1.35,247.1,92.929,93.32313,0.3941277465820292,0.3941277465820292
4.0,12.3,116.0,10.2,1.19,275.0,98.465,98.857864,0.3928643798828091,0.3928643798828091
5.5,14.0,102.0,18.6,1.11,271.2,103.582,103.974724,0.3927238159179751,0.3927238159179751
5.8,14.2,101.0,17.4,0.92,334.5,111.244,110.852036,-0.3919644775390623,0.3919644775390623
2.9,9.9,146.0,4.9,1.88,205.2,81.547,81.93153,0.38453381347656546,0.38453381347656546
2.9,11.0,127.0,9.2,1.12,272.7,95.98400000000001,96.36224,0.37824365234374113,0.37824365234374113
3.3,11.3,128.0,8.3,,,95.981,96.35066,0.36966223144531796,0.36966223144531796
4.2,12.4,118.0,10.3,1.01,285.0,99.926,99.55694,-0.3690618286132832,0.3690618286132832
5.8,14.4,99.0,18.9,0.93,328.8,111.199,110.83851,-0.3604913940429668,0.3604913940429668
3.4,11.4,127.0,8.9,1.3,257.9,94.075,94.4323,0.35729675292968466,0.35729675292968466
3.9,12.1,122.0,10.2,1.11,271.0,98.8,98.44652,-0.35348205566405966,0.35348205566405966
3.9,12.0,125.0,8.9,1.23,249.8,94.851,94.49762,-0.3533803710937491,0.3533803710937491
4.4,12.8,113.0,12.4,1.03,361.3,105.979,106.32958,0.35058221435546955,0.35058221435546955
3.2,11.2,127.0,8.6,1.24,258.5,94.084,94.4323,0.3482967529296843,0.3482967529296843
3.8,11.9,117.0,11.1,1.14,295.0,100.352,100.69896,0.34695935058593363,0.34695935058593363
2.9,11.0,125.0,9.6,1.17,260.2,95.67099999999999,96.00967,0.3386664428711015,0.3386664428711015
3.0,10.8,133.0,7.0,1.38,243.0,90.68299999999999,91.017914,0.3349138183593823,0.3349138183593823
2.7,9.6,156.0,4.1,1.77,211.5,81.119,80.789116,-0.329884094238281,0.329884094238281
4.7,13.0,110.0,12.8,1.13,277.1,101.30799999999999,100.98161,-0.3263868408203052,0.3263868408203052
2.9,11.0,131.0,7.8,1.34,255.3,92.799,93.12459,0.3255880126953059,0.3255880126953059
2.9,9.8,157.0,4.3,1.75,211.4,80.40299999999999,80.71965,0.3166502685546959,0.3166502685546959
2.4,9.9,146.0,5.6,1.31,247.7,89.85,89.560776,-0.2892242431640568,0.2892242431640568
3.6,11.1,131.0,7.5,1.31,240.6,91.274,91.54083,0.2668325195312491,0.2668325195312491
3.7,11.3,130.0,7.7,1.49,240.6,91.282,91.54083,0.2588325195312535,0.2588325195312535
3.2,11.0,134.0,6.9,1.48,244.8,91.19800000000001,90.939514,-0.2584858398437575,0.2584858398437575
2.8,10.7,136.0,6.9,1.28,251.0,91.094,91.34072,0.24672113037109966,0.24672113037109966
4.2,12.2,117.0,11.4,1.37,255.0,96.779,96.54258,-0.2364203491210901,0.2364203491210901
4.1,12.3,118.0,9.8,1.22,285.0,99.793,99.55694,-0.23606182861328762,0.23606182861328762
9.0,16.9,83.0,41.5,0.76,437.2,117.17,117.40497,0.2349682617187483,0.2349682617187483
2.9,10.5,139.0,6.1,1.27,249.5,91.495,91.26232,-0.2326785278320358,0.2326785278320358
3.4,11.4,127.0,7.6,1.68,204.4,85.461,85.6816,0.22060247802734523,0.22060247802734523
3.0,11.1,125.0,9.7,1.09,270.8,97.52600000000001,97.32257,-0.20342919921876046,0.20342919921876046
4.8,13.2,102.0,17.9,1.04,281.9,104.218,104.41507,0.19706958007812148,0.19706958007812148
2.9,10.1,145.0,5.2,2.11,225.0,87.075,86.88083,-0.19417114257812784,0.19417114257812784
3.9,12.3,116.0,11.9,1.14,277.5,99.061,98.869446,-0.19155419921875705,0.19155419921875705
4.1,12.1,125.0,8.6,1.3,252.1,94.61,94.41922,-0.19078002929687443,0.19078002929687443
2.8,10.2,145.0,5.5,1.36,245.7,88.962,89.15168,0.18967999267577795,0.18967999267577795
3.6,10.3,161.0,5.4,2.23,195.3,80.27,80.45749,0.18748901367187898,0.18748901367187898
8.4,16.2,85.0,30.3,1.01,305.9,113.505,113.69234,0.18733703613281705,0.18733703613281705
4.5,13.3,103.0,15.9,1.11,279.2,102.789,102.96974,0.18074182128906102,0.18074182128906102
4.0,12.3,117.0,10.8,1.07,305.0,101.90100000000001,102.075485,0.17448522949217704,0.17448522949217704
6.6,14.6,98.0,19.6,0.73,506.6,112.176,112.3479,0.17190039062499807,0.17190039062499807
2.8,10.8,126.0,8.9,1.19,265.2,95.89,95.726685,-0.16331542968750057,0.16331542968750057
3.4,11.7,118.0,11.5,1.12,270.7,98.303,98.4581,0.15509936523437773,0.15509936523437773
5.5,14.1,99.0,20.2,1.09,282.9,106.007,106.15927,0.15227124023437,0.15227124023437
7.7,16.0,90.0,43.0,0.91,339.7,116.36699999999999,116.219345,-0.14765490722655272,0.14765490722655272
2.7,9.9,147.0,5.0,1.86,213.4,82.157,82.29658,0.13957745361328477,0.13957745361328477
2.4,9.4,154.0,4.5,1.32,248.9,88.31700000000001,88.1873,-0.12969836425781978,0.12969836425781978
2.7,10.6,150.0,4.3,1.12,300.8,95.594,95.71932,0.12532220458984966,0.12532220458984966
6.8,15.4,91.0,27.1,1.01,297.5,110.589,110.46686,-0.12214208984374864,0.12214208984374864
4.7,12.9,108.0,15.1,1.09,295.0,102.70400000000001,102.82272,0.11872338867186727,0.11872338867186727
3.5,11.5,128.0,7.6,,,96.16499999999999,96.27226,0.10726257324219546,0.10726257324219546
4.0,12.1,118.0,10.3,1.15,278.2,98.737,98.84342,0.10642193603516148,0.10642193603516148
2.5,10.4,131.0,7.7,1.14,265.2,93.85300000000001,93.959,0.10599963378905386,0.10599963378905386
4.3,12.4,119.0,10.6,1.02,306.9,103.119,103.20177,0.08276696777343773,0.08276696777343773
2.4,9.3,156.0,4.6,1.35,246.7,87.875,87.942566,0.06756591796875,0.06756591796875
3.8,11.7,125.0,8.5,1.18,266.0,97.181,97.247185,0.06618475341797136,0.06618475341797136
2.9,9.9,151.0,4.6,1.49,240.7,88.119,88.16639,0.04738946533203148,0.04738946533203148
2.7,10.6,135.0,6.4,1.3,243.9,90.971,91.017914,0.04691381835937136,0.04691381835937136
3.0,10.5,138.0,6.6,1.23,255.3,92.13499999999999,92.171906,0.036905517578134095,0.036905517578134095
2.8,9.7,152.0,4.4,2.32,191.0,77.056,77.09206,0.036056274414065115,0.036056274414065115
3.4,11.5,128.0,7.8,1.25,255.2,94.399,94.4323,0.03329675292968659,0.03329675292968659
3.9,12.1,119.0,11.1,1.13,268.1,98.475,98.44652,-0.028482055664056816,0.028482055664056816
3.5,11.3,129.0,7.8,1.39,250.5,92.72,92.701294,-0.018706054687498863,0.018706054687498863
3.8,11.0,130.0,7.8,1.44,244.9,91.523,91.54083,0.017832519531253865,0.017832519531253865
4.5,12.7,110.0,13.0,1.13,272.4,100.588,100.59629,0.008290588378912389,0.008290588378912389
3.0,11.0,126.0,8.7,1.13,264.0,95.511,95.50933,-0.00166925048827693,0.00166925048827693
